"Source:","/home/papa/openautolab/electronics/openautolab.kicad_sch"
"Date:","So 08 Jan 2023 10:39:11 CET"
"Tool:","Eeschema 6.0.9-8da3e8f707~117~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"16","1","J14","IN+","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"17","1","J15","IN-","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"18","1","J16","PWR_IN","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"19","1","J17","FILTER_PUMP","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"20","1","J18","FILTER_SENSOR","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","~"
"21","2","K1, K2","FINDER-36.11","Relay:FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"22","1","SW0","PIN_A0","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"23","1","SW1","PIN_A1","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"24","1","SW2","PIN_A2","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"25","1","SW3","SW_SPDT","Switch:SW_SPDT","Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q","~"
"26","2","U1, U2","TD62064APG","Transistor_Array:TD62064APG","Package_DIP:DIP-16_W7.62mm","https://www.mouser.com/datasheet/2/408/toshiba%20america%20electronic%20components,%20inc._dst_td-1209371.pdf"
